Base_Model,Quantization,Direction,Category_Type,Category_Value,comet_score,chrf_score,Count,Baseline_COMET,Baseline_chrF,Overall_COMET,Overall_chrF,Baseline_Overall_COMET,Baseline_Overall_chrF,COMET_Category_Penalty,chrF_Category_Penalty,COMET_Overall_Penalty,chrF_Overall_Penalty,COMET_Excess_Category_Effect,chrF_Excess_Category_Effect
Gemini 2.5 Flash 32B,Full Model,All,Topic,History Of Technology/Technological Determism,0.92221,0.641478,2,0.92221,0.641478,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,History_Of_Rail_Transport/Early_Rail_Transportation,0.887721,0.734496,2,0.887721,0.734496,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,"How Things Work, Flush Toilets",0.881258,0.472681,2,0.881258,0.472681,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,How To Play The Violin/Bowing,0.819493,0.419601,4,0.819493,0.419601,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,How_Things_Work/Pencil,0.902774,0.595866,4,0.902774,0.595866,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,International,0.885682,0.519083,2,0.885682,0.519083,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Internatoinal,0.93858,0.70029,2,0.93858,0.70029,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Language/Italian,0.891474,0.61659,2,0.891474,0.61659,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Language/Persian,0.889695,0.582298,2,0.889695,0.582298,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Law,0.917822,0.612106,2,0.917822,0.612106,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Learning Theories/Organizational Learning,0.918532,0.581306,2,0.918532,0.581306,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Managing Groups & Teams/Leader Credibility,0.872723,0.663878,2,0.872723,0.663878,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Managing Groups & Teams/Motivation,0.936553,0.652006,6,0.936553,0.652006,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Managing Groups & Teams/Virtual Teams,0.895734,0.645476,4,0.895734,0.645476,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Media,0.917414,0.765309,2,0.917414,0.765309,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Modern Photography/Format,0.814443,0.508726,4,0.814443,0.508726,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Music,0.841198,0.634661,2,0.841198,0.634661,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Natural Wonders/Astronomy,0.894039,0.574379,4,0.894039,0.574379,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Natural Wonders/Botanical Tourism In Singapore,0.929955,0.655928,2,0.929955,0.655928,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Natural Wonders/Cherry Blossom,0.932982,0.73999,4,0.932982,0.73999,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Natural Wonders/Galapagos Wildlife,0.918117,0.694038,4,0.918117,0.694038,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Natural Wonders/Midnight Sun,0.912588,0.669736,2,0.912588,0.669736,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Natural Wonders/Waterways,0.869301,0.586921,4,0.869301,0.586921,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Nature,0.919965,0.622073,4,0.919965,0.622073,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Nikola Tesla/Middle Years,0.92622,0.677748,2,0.92622,0.677748,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Paleoanthropology/Genetics,0.904491,0.734842,2,0.904491,0.734842,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Paleoanthropology/Oldowan Period,0.880874,0.631849,2,0.880874,0.631849,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Policy,0.89285,0.635373,2,0.89285,0.635373,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Politics,0.893709,0.62582,26,0.893709,0.62582,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Politics And Conflicts,0.883892,0.606703,8,0.883892,0.606703,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Reason To Travel/Christmas And New Year,0.910321,0.548488,2,0.910321,0.548488,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Reason To Travel/Working In Japan,0.915213,0.567357,4,0.915213,0.567357,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Religion,0.935422,0.717679,4,0.935422,0.717679,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Remembering The Templars,0.944835,0.634241,2,0.944835,0.634241,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Research,0.82289,0.626071,2,0.82289,0.626071,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Sailing,0.839847,0.458737,4,0.839847,0.458737,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Sciece,0.888463,0.701905,6,0.888463,0.701905,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
Gemini 2.5 Flash 32B,Full Model,All,Topic,Science,0.92126,0.635635,14,0.92126,0.635635,0.897843,0.611948,0.897843,0.611948,0.0,0.0,0.0,0.0,0.0,0.0
