Base_Model,Quantization,Direction,Challenge,Normal_Count,Challenging_Count,COMET_Normal,COMET_Challenging,chrF_Normal,chrF_Challenging,COMET_Raw_Gap,chrF_Raw_Gap,Baseline_COMET_Normal,Baseline_COMET_Challenging,Baseline_chrF_Normal,Baseline_chrF_Challenging,Baseline_COMET_Raw_Gap,Baseline_chrF_Raw_Gap,Overall_COMET,Overall_chrF,Baseline_Overall_COMET,Baseline_Overall_chrF,COMET_Overall_Penalty,chrF_Overall_Penalty,COMET_Normal_Penalty,COMET_Challenging_Penalty,chrF_Normal_Penalty,chrF_Challenging_Penalty,COMET_Excess_Challenge_Effect,chrF_Excess_Challenge_Effect,COMET_Effect_Check,chrF_Effect_Check
Llama 3 8B,Empirical Net Mngr 5.5GB,All,High_Morphology,450,150,0.796077,0.808173,0.464689,0.474452,-0.012096,-0.009763,0.867453,0.877205,0.532779,0.553978,-0.009752,-0.021199,0.799101,0.467129,0.869891,0.538079,0.07079,0.07095,0.071376,0.069032,0.068091,0.079527,-0.002345,0.011436,-0.002345,0.011436
Llama 3 8B,Empirical Net Mngr 5.5GB,All,Is_Long_Sentence,565,35,0.800271,0.780216,0.46356,0.524748,0.020054,-0.061188,0.871089,0.850546,0.534717,0.59235,0.020543,-0.057633,0.799101,0.467129,0.869891,0.538079,0.07079,0.07095,0.070819,0.07033,0.071157,0.067602,-0.000489,-0.003555,-0.000489,-0.003555
Llama 3 8B,Fp4,All,Has_Rare_Words,224,376,0.864858,0.849425,0.494182,0.527923,0.015433,-0.033741,0.877338,0.865454,0.513227,0.552885,0.011883,-0.039657,0.855187,0.515327,0.869891,0.538079,0.014704,0.022752,0.012479,0.016029,0.019045,0.024961,0.00355,0.005916,0.00355,0.005916
Llama 3 8B,Fp4,All,High_Morphology,450,150,0.851447,0.866406,0.51054,0.529688,-0.014959,-0.019149,0.867453,0.877205,0.532779,0.553978,-0.009752,-0.021199,0.855187,0.515327,0.869891,0.538079,0.014704,0.022752,0.016006,0.010799,0.02224,0.02429,-0.005207,0.00205,-0.005207,0.00205
Llama 3 8B,Fp4,All,Is_Long_Sentence,565,35,0.856255,0.837942,0.511609,0.575339,0.018313,-0.06373,0.871089,0.850546,0.534717,0.59235,0.020543,-0.057633,0.855187,0.515327,0.869891,0.538079,0.014704,0.022752,0.014834,0.012604,0.023108,0.017011,-0.00223,-0.006097,-0.00223,-0.006097
Llama 3 8B,Fp4 AWQ,All,Has_Rare_Words,224,376,0.863642,0.852706,0.496963,0.537544,0.010937,-0.040581,0.877338,0.865454,0.513227,0.552885,0.011883,-0.039657,0.856789,0.522394,0.869891,0.538079,0.013102,0.015685,0.013696,0.012749,0.016264,0.01534,-0.000947,-0.000924,-0.000947,-0.000924
Llama 3 8B,Fp4 AWQ,All,High_Morphology,450,150,0.855867,0.859555,0.518931,0.532782,-0.003688,-0.013852,0.867453,0.877205,0.532779,0.553978,-0.009752,-0.021199,0.856789,0.522394,0.869891,0.538079,0.013102,0.015685,0.011586,0.01765,0.013849,0.021196,0.006064,0.007347,0.006064,0.007347
Llama 3 8B,Fp4 AWQ,All,Is_Long_Sentence,565,35,0.85785,0.839659,0.518838,0.579789,0.018191,-0.060951,0.871089,0.850546,0.534717,0.59235,0.020543,-0.057633,0.856789,0.522394,0.869891,0.538079,0.013102,0.015685,0.013239,0.010887,0.015879,0.012561,-0.002352,-0.003318,-0.002352,-0.003318
Llama 3 8B,Fp8,All,Has_Rare_Words,224,376,0.878751,0.865713,0.514336,0.549195,0.013038,-0.034859,0.877338,0.865454,0.513227,0.552885,0.011883,-0.039657,0.87058,0.536181,0.869891,0.538079,-0.00069,0.001898,-0.001413,-0.000258,-0.001109,0.003689,0.001155,0.004798,0.001155,0.004798
Llama 3 8B,Fp8,All,High_Morphology,450,150,0.86851,0.876792,0.53073,0.552534,-0.008281,-0.021803,0.867453,0.877205,0.532779,0.553978,-0.009752,-0.021199,0.87058,0.536181,0.869891,0.538079,-0.00069,0.001898,-0.001057,0.000413,0.002049,0.001445,0.00147,-0.000604,0.00147,-0.000604
