Base_Model,Quantization,Direction,Overall_COMET,Overall_chrF,Baseline_Overall_COMET,Baseline_Overall_chrF,COMET_Overall_Penalty,chrF_Overall_Penalty,COMET_Mean_Abs_Challenge_Effect,chrF_Mean_Abs_Challenge_Effect,COMET_Max_Positive_Challenge_Effect,chrF_Max_Positive_Challenge_Effect
Mistral 7B,4bit Omniquant,All,0.682595,0.389227,0.711362,0.40661,0.028767,0.017383,0.016479,0.009939,0.004444,0.001631
Mistral 7B,4bit Optimized GPTQ,All,0.679435,0.387608,0.711362,0.40661,0.031927,0.019002,0.023319,0.004098,0.00923,0.001797
Mistral 7B,4bit Spinquant,All,0.689828,0.38955,0.711362,0.40661,0.021534,0.01706,0.018752,0.003202,-0.000598,0.00019
Mistral 7B,4bit Static GPTQ,All,0.694861,0.399373,0.711362,0.40661,0.016501,0.007236,0.014447,0.005772,-0.005177,-0.004364
Mistral 7B,4bit True GPTQ,All,0.692706,0.396859,0.711362,0.40661,0.018656,0.009751,0.015893,0.007075,0.000423,-0.000387
Mistral 7B,Analytical Net Mngr 3.7GB,All,0.607995,0.330941,0.711362,0.40661,0.103367,0.075669,0.021094,0.011923,0.01739,0.018818
Mistral 7B,Empirical Net Mngr 3.7GB,All,0.630091,0.345161,0.711362,0.40661,0.081271,0.061449,0.009406,0.012241,0.011611,0.021297
Mistral 7B,Fp4,All,0.697787,0.392814,0.711362,0.40661,0.013575,0.013796,0.018337,0.007963,0.003662,0.001976
Mistral 7B,Fp4 AWQ,All,0.700043,0.397875,0.711362,0.40661,0.011319,0.008735,0.010557,0.010491,-8.7e-05,-0.003621
Mistral 7B,Fp8,All,0.712753,0.406698,0.711362,0.40661,-0.001391,-8.8e-05,0.007522,0.001338,0.011288,-0.000845
Mistral 7B,Fp8 Per Tensor,All,0.708039,0.406995,0.711362,0.40661,0.003323,-0.000385,0.009343,0.002848,0.002829,0.000801
Mistral 7B,Full Model,All,0.711362,0.40661,0.711362,0.40661,0.0,0.0,0.0,0.0,0.0,0.0
Mistral 7B,Int2 Batch16,All,0.384843,0.176402,0.711362,0.40661,0.326519,0.230207,0.008029,0.026617,0.013954,0.055916
Mistral 7B,Int4,All,0.686116,0.391752,0.711362,0.40661,0.025246,0.014858,0.015281,0.003371,0.001633,0.001109
Mistral 7B,Int4 AWQ,All,0.689696,0.396646,0.711362,0.40661,0.021667,0.009964,0.018767,0.007967,0.007628,0.010103
Mistral 7B,Int8,All,0.709014,0.406717,0.711362,0.40661,0.002348,-0.000107,0.004427,0.001753,0.00012,0.000892
Mistral 7B,Int8 A8W8,All,0.70752,0.406377,0.711362,0.40661,0.003842,0.000233,0.014034,0.004492,0.002027,0.003197
Mistral 7B,Int8 Bookends,All,0.709058,0.405638,0.711362,0.40661,0.002305,0.000972,0.006775,0.002004,0.003191,0.002498
Mistral 7B,Nf4,All,0.697049,0.401964,0.711362,0.40661,0.014313,0.004646,0.018691,0.007419,0.002752,0.003073
Mistral 7B,2bit 10% Fast Spqr,EN-GR,0.416924,0.202124,0.615746,0.322921,0.198822,0.120797,0.022048,0.01385,0.001974,0.014194
Mistral 7B,2bit 5% Spqr,EN-GR,0.337801,0.16576,0.615746,0.322921,0.277945,0.157161,0.050475,0.028844,0.015701,0.013686
Mistral 7B,4bit K-Means,EN-GR,0.442899,0.235891,0.615746,0.322921,0.172848,0.08703,0.03171,0.016207,0.002839,0.017693
Mistral 7B,4bit Omniquant,EN-GR,0.569999,0.299408,0.615746,0.322921,0.045747,0.023513,0.02212,0.019342,0.007516,0.0102
Mistral 7B,4bit Optimized GPTQ,EN-GR,0.571014,0.303617,0.615746,0.322921,0.044733,0.019304,0.036649,0.016385,0.011439,-0.001099
Mistral 7B,4bit Spinquant,EN-GR,0.586244,0.305995,0.615746,0.322921,0.029503,0.016926,0.037382,0.010381,0.002526,0.000175
Mistral 7B,4bit Static GPTQ,EN-GR,0.587118,0.310163,0.615746,0.322921,0.028629,0.012758,0.016595,0.011501,-0.002896,0.005237
Mistral 7B,4bit True GPTQ,EN-GR,0.588207,0.313586,0.615746,0.322921,0.027539,0.009335,0.028653,0.01042,0.00896,0.006164
Mistral 7B,Analytical Net Mngr 3.7GB,EN-GR,0.521659,0.268512,0.615746,0.322921,0.094087,0.054409,0.035003,0.026864,0.01319,0.011287
Mistral 7B,Empirical Net Mngr 3.7GB,EN-GR,0.545237,0.285938,0.615746,0.322921,0.070509,0.036984,0.009348,0.010799,0.001206,-0.002336
Mistral 7B,Fp4,EN-GR,0.597752,0.307535,0.615746,0.322921,0.017994,0.015386,0.031887,0.015787,0.001208,0.001815
Mistral 7B,Fp4 AWQ,EN-GR,0.597294,0.306251,0.615746,0.322921,0.018452,0.01667,0.021031,0.020439,-0.001247,0.004268
Mistral 7B,Fp8,EN-GR,0.61595,0.323488,0.615746,0.322921,-0.000204,-0.000567,0.010523,0.005288,0.017184,-0.000773
Mistral 7B,Fp8 Per Tensor,EN-GR,0.608162,0.322598,0.615746,0.322921,0.007584,0.000323,0.018645,0.00975,0.000929,-0.00104
Mistral 7B,Full Model,EN-GR,0.615746,0.322921,0.615746,0.322921,0.0,0.0,0.0,0.0,0.0,0.0
Mistral 7B,Int2 Batch16,EN-GR,0.306839,0.140558,0.615746,0.322921,0.308908,0.182363,0.04819,0.022743,0.021528,-0.002158
Mistral 7B,Int4,EN-GR,0.581403,0.306971,0.615746,0.322921,0.034344,0.01595,0.021871,0.013232,0.006001,0.000837
Mistral 7B,Int4 AWQ,EN-GR,0.576113,0.309482,0.615746,0.322921,0.039634,0.013439,0.026372,0.016456,0.00778,0.013315
Mistral 7B,Int8,EN-GR,0.610159,0.323183,0.615746,0.322921,0.005587,-0.000262,0.007675,0.003663,-0.001776,0.001489
Mistral 7B,Int8 A8W8,EN-GR,0.607694,0.319102,0.615746,0.322921,0.008052,0.00382,0.028765,0.005826,0.002353,-2.9e-05
Mistral 7B,Int8 Bookends,EN-GR,0.614562,0.322791,0.615746,0.322921,0.001184,0.00013,0.016505,0.009075,0.006427,0.00185
Mistral 7B,Nf4,EN-GR,0.59436,0.317453,0.615746,0.322921,0.021386,0.005469,0.031498,0.010531,0.00218,0.001446
Mistral 7B,2bit 10% Fast Spqr,GR-EN,0.65894,0.342645,0.806978,0.490299,0.148038,0.147653,0.014288,0.024029,0.029358,0.047827
Mistral 7B,2bit 5% Spqr,GR-EN,0.532104,0.252342,0.806978,0.490299,0.274874,0.237957,0.004973,0.018865,-0.000952,0.031778
