Model,Quantization,Set,GR-EN,EN-GR,Global,T/S_GR_EN,T/S_EN_GR,RAM_GB,VRAM_GB
Llama Krikri 8B,4bit Omniquant,3,0.8784,0.8954,0.8869,3.8226,4.711,5.39,5.76
Llama Krikri 8B,4bit Spinquant,1,0.6211,0.6793,0.6502,10.9645,13.7581,5.88,10.76
Llama Krikri 8B,4bit Spinquant,2,0.6268,0.6535,0.6401,10.559,13.3679,6.12,10.76
Llama Krikri 8B,4bit Spinquant,3,0.6262,0.6513,0.6388,10.2666,13.4291,6.14,10.76
Llama Krikri 8B,2bit 5% Spqr,1,0.6547,0.504,0.5794,13.3845,7.5935,6.44,6.13
Llama Krikri 8B,2bit 5% Spqr,2,0.6204,0.4861,0.5533,13.2959,7.7328,6.14,6.13
Llama Krikri 8B,2bit 5% Spqr,3,0.6423,0.4956,0.569,12.9837,7.9431,6.19,6.13
Llama Krikri 8B,2bit 10% Fast Spqr,1,0.8616,0.8279,0.8447,9.0691,8.5039,5.53,8.07
Llama Krikri 8B,2bit 10% Fast Spqr,2,0.8531,0.8201,0.8366,10.2181,8.8866,5.54,8.07
Llama Krikri 8B,2bit 10% Fast Spqr,3,0.8525,0.8236,0.8381,8.994,8.4071,5.59,8.07
Llama Krikri 8B,Analytical Net Mngr 4.5GB,1,0.3924,0.4204,0.4064,13.2029,13.5799,5.21,4.63
Llama Krikri 8B,Analytical Net Mngr 4.5GB,2,0.4145,0.408,0.4113,11.3256,13.1838,5.92,4.63
Llama Krikri 8B,Analytical Net Mngr 4.5GB,3,0.4014,0.4264,0.4139,13.4098,11.5978,5.95,4.63
Llama Krikri 8B,Empirical Net Mngr 5.5GB,1,0.8794,0.8977,0.8885,6.5462,7.5064,5.27,5.6
Llama Krikri 8B,Empirical Net Mngr 5.5GB,2,0.8719,0.8883,0.8801,6.4943,7.6714,5.29,5.6
Llama Krikri 8B,Empirical Net Mngr 5.5GB,3,0.8689,0.879,0.8739,6.3422,7.2957,5.29,5.6
Llama 3 8B,Fp4 AWQ,1,0.8644,0.8694,0.8669,10.0368,8.6614,5.29,5.44
Llama 3 8B,Fp4 AWQ,2,0.8606,0.8498,0.8552,11.1317,9.6796,5.54,5.44
Llama 3 8B,Fp4 AWQ,3,0.845,0.8516,0.8483,11.6174,8.6875,5.61,5.44
Llama 3 8B,Int4 AWQ,1,0.8744,0.8632,0.8688,7.3883,8.6576,5.3,5.44
Llama 3 8B,Int4 AWQ,2,0.8684,0.8598,0.8641,7.2899,8.9487,5.88,5.44
Llama 3 8B,Int4 AWQ,3,0.8607,0.8496,0.8552,7.3216,8.6844,5.9,5.44
Llama 3 8B,Fp4,1,0.8557,0.8658,0.8607,11.2654,8.1508,5.28,5.43
Llama 3 8B,Fp4,2,0.8637,0.8556,0.8596,11.5493,8.524,6.03,5.43
Llama 3 8B,Fp4,3,0.8497,0.8414,0.8455,12.7842,8.1221,6.06,5.43
Llama 3 8B,Int8 Bookends,1,0.8736,0.8813,0.8774,9.2243,9.6862,5.78,7.66
Llama 3 8B,Int8 Bookends,2,0.8719,0.8648,0.8683,9.9494,10.0479,6.23,7.66
Llama 3 8B,Int8 Bookends,3,0.8609,0.8614,0.8612,10.1327,9.442,6.02,7.66
Llama 3 8B,Fp8,1,0.8765,0.8853,0.8809,8.3873,8.9587,5.25,8.46
Llama 3 8B,Fp8,2,0.8715,0.8678,0.8696,8.1798,9.1351,5.49,8.46
Llama 3 8B,Fp8,3,0.8637,0.8588,0.8612,9.2541,8.6075,5.51,8.46
Llama 3 8B,Fp8 Per Tensor,1,0.8722,0.8816,0.8769,8.5487,8.771,5.28,8.46
Llama 3 8B,Fp8 Per Tensor,2,0.8712,0.8669,0.869,8.4603,8.919,5.38,8.46
Llama 3 8B,Fp8 Per Tensor,3,0.8616,0.8604,0.861,9.2173,8.6471,5.42,8.46
Llama 3 8B,Full Model,1,0.8775,0.8842,0.8808,2.1138,4.1066,5.37,14.96
Llama 3 8B,Full Model,2,0.8713,0.8604,0.8659,2.2353,4.2109,5.57,14.96
Llama 3 8B,Full Model,3,0.8631,0.8628,0.863,2.0713,3.9575,5.61,14.96
Llama 3 8B,4bit Static GPTQ,1,0.8716,0.8721,0.8719,6.5478,8.28,5.47,5.48
Llama 3 8B,4bit Static GPTQ,2,0.8703,0.8601,0.8652,7.2168,8.1817,6.21,5.48
Llama 3 8B,4bit Static GPTQ,3,0.8574,0.8549,0.8562,8.3161,7.7776,6.26,5.48
Llama 3 8B,4bit True GPTQ,1,0.8672,0.8754,0.8713,8.1727,8.4264,5.29,5.48
Llama 3 8B,4bit True GPTQ,2,0.8691,0.8635,0.8663,8.5295,8.5543,5.5,5.48
Llama 3 8B,4bit True GPTQ,3,0.8579,0.8592,0.8585,8.6203,7.9204,5.5,5.48
Llama 3 8B,4bit Optimized GPTQ,1,0.8651,0.859,0.862,9.8534,9.2938,5.28,5.48
