Base_Model,Quantization,Metric_Family,Metric_ID,Metric_Label,Sentence_Count,Support,Reliability,Display_Unit,Quantized_Value,Baseline_Value,Excess_Effect,Quantized_Underproduction,Baseline_Underproduction,Excess_Underproduction,Quantized_Overproduction,Baseline_Overproduction,Excess_Overproduction
Llama 3 8B,Int4,Structural realisation,modal_auxiliaries,Modal auxiliaries,300,77.0,Adequate support,divergences per 100 sentences,13.0,11.0,2.0,28.571428571428573,25.974025974025974,2.597402597402599,5.666666666666667,4.333333333333333,1.333333333333334
Llama 3 8B,Int4,Structural realisation,of_genitives,Of-genitive constructions,300,193.0,Adequate support,divergences per 100 sentences,50.0,49.0,1.0,19.17098445595855,22.27979274611399,-3.108808290155441,37.666666666666664,34.666666666666664,3.0
Llama 3 8B,Int4,Structural realisation,participles,Participles,300,356.0,Adequate support,divergences per 100 sentences,61.0,62.0,-1.0,29.213483146067414,30.0561797752809,-0.842696629213485,26.333333333333332,26.333333333333332,0.0
Llama 3 8B,Int4,Structural realisation,passive_constructions,Passive constructions,300,107.0,Adequate support,divergences per 100 sentences,23.666666666666668,23.0,0.6666666666666679,28.97196261682243,31.77570093457944,-2.803738317757009,13.333333333333334,11.666666666666666,1.6666666666666679
Llama 3 8B,Int4,Structural realisation,possessive_nominals,Possessive nominals,300,110.0,Adequate support,divergences per 100 sentences,26.0,25.333333333333332,0.6666666666666679,33.63636363636363,31.818181818181817,1.8181818181818166,13.666666666666666,13.666666666666666,0.0
Llama 3 8B,Int4,Structural realisation,prepositions,Prepositions,300,756.0,Adequate support,divergences per 100 sentences,100.66666666666667,93.0,7.666666666666671,9.656084656084657,10.714285714285714,-1.0582010582010568,76.33333333333333,66.0,10.333333333333329
Llama 3 8B,Int4,Structural realisation,relative_clauses,Relative clauses,300,83.0,Adequate support,divergences per 100 sentences,28.333333333333332,26.666666666666668,1.6666666666666643,28.91566265060241,31.325301204819276,-2.4096385542168655,20.333333333333332,18.0,2.333333333333332
Llama 3 8B,Int4,Structural realisation,relative_markers,Relative markers,300,102.0,Adequate support,divergences per 100 sentences,29.666666666666668,28.333333333333332,1.3333333333333357,14.705882352941176,16.666666666666668,-1.9607843137254921,24.666666666666668,22.666666666666668,2.0
Llama 3 8B,Int4,Structural realisation,subordinating_conjunctions,Subordinating conjunctions,300,119.0,Adequate support,divergences per 100 sentences,22.0,21.333333333333332,0.6666666666666679,15.966386554621849,15.126050420168067,0.8403361344537821,15.666666666666666,15.333333333333334,0.33333333333333215
Llama 3 8B,Int4 AWQ,Content preservation,named_entities,Named-entity recall,300,511.0,Adequate support,percentage-point recall loss,59.099804305283755,60.46966731898239,1.3698630136986338,40.900195694716245,39.53033268101761,1.36986301369863,61.333333333333336,57.333333333333336,4.0
